Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Date,Time,Payment,Rating,Tax,Total
202-61-1860,A,Naypyitaw,Member,Female,Health and beauty,83.93,9,2023-01-01,14:15,Ewallet,8.5,37.77,793.14
370-81-6734,C,Naypyitaw,Member,Female,Fashion accessories,59.92,1,2023-01-02,12:45,Ewallet,5.7,3.0,62.92
221-92-5426,B,Mandalay,Normal,Female,Food and beverages,67.34,1,2023-01-03,9:00,Cash,7.1,3.37,70.71
558-97-9322,A,Mandalay,Member,Male,Sports and travel,57.37,4,2023-01-04,13:00,Ewallet,7.7,11.47,240.95
761-62-1769,C,Yangon,Member,Female,Food and beverages,51.69,7,2023-01-05,16:45,Ewallet,7.0,18.09,379.92
443-39-7949,A,Mandalay,Normal,Male,Sports and travel,31.12,1,2023-01-06,9:30,Cash,7.6,1.56,32.68
485-73-6051,B,Yangon,Normal,Male,Health and beauty,37.29,9,2023-01-07,19:45,Cash,10.0,16.78,352.39
376-42-5555,B,Yangon,Member,Female,Home and lifestyle,36.1,4,2023-01-08,8:30,Ewallet,5.7,7.22,151.62
413-31-7396,C,Naypyitaw,Member,Female,Electronic accessories,60.7,3,2023-01-09,17:30,Credit card,8.4,9.11,191.21
847-98-9666,B,Naypyitaw,Member,Male,Food and beverages,20.8,1,2023-01-10,14:30,Ewallet,7.0,1.04,21.84
158-51-3047,A,Naypyitaw,Normal,Male,Fashion accessories,92.51,4,2023-01-11,20:00,Ewallet,5.7,18.5,388.54
575-69-1189,B,Naypyitaw,Member,Female,Sports and travel,74.86,9,2023-01-12,16:45,Credit card,5.8,33.69,707.43
786-71-5658,A,Mandalay,Member,Female,Fashion accessories,46.13,6,2023-01-13,11:15,Credit card,9.7,13.84,290.62
975-64-2267,A,Naypyitaw,Member,Male,Home and lifestyle,24.28,6,2023-01-14,18:00,Cash,9.4,7.28,152.96
931-12-4556,B,Mandalay,Normal,Female,Sports and travel,89.38,1,2023-01-15,9:00,Cash,9.5,4.47,93.85
918-16-6393,C,Naypyitaw,Normal,Female,Food and beverages,84.14,2,2023-01-16,16:30,Ewallet,10.0,8.41,176.69
487-98-9433,B,Mandalay,Member,Female,Health and beauty,74.95,6,2023-01-17,19:45,Credit card,6.0,22.49,472.19
876-62-8041,A,Yangon,Member,Male,Fashion accessories,34.44,2,2023-01-18,13:30,Cash,6.8,3.44,72.32
439-69-1775,A,Mandalay,Normal,Male,Home and lifestyle,46.22,3,2023-01-19,19:30,Ewallet,8.3,6.93,145.59
134-87-4152,B,Mandalay,Normal,Male,Food and beverages,19.25,4,2023-01-20,16:30,Credit card,7.4,3.85,80.85
661-13-4073,C,Naypyitaw,Normal,Female,Food and beverages,27.01,5,2023-01-21,9:45,Ewallet,7.1,6.75,141.8
489-63-4843,C,Mandalay,Normal,Female,Food and beverages,80.47,9,2023-01-22,14:30,Cash,6.8,36.21,760.44
921-72-7873,A,Yangon,Normal,Male,Food and beverages,74.35,4,2023-01-23,11:30,Cash,8.0,14.87,312.27
655-43-5297,A,Yangon,Normal,Male,Sports and travel,63.41,9,2023-01-24,16:45,Credit card,7.9,28.53,599.22
369-57-8629,C,Naypyitaw,Normal,Male,Food and beverages,90.62,3,2023-01-25,15:00,Ewallet,5.8,13.59,285.45
826-71-7439,B,Yangon,Normal,Female,Fashion accessories,62.49,8,2023-01-26,20:00,Credit card,7.4,25.0,524.92
824-89-8916,A,Mandalay,Normal,Male,Home and lifestyle,52.03,1,2023-01-27,8:00,Cash,7.8,2.6,54.63
437-62-5887,A,Yangon,Member,Male,Sports and travel,40.63,9,2023-01-28,13:30,Cash,7.9,18.28,383.95
316-69-9571,C,Naypyitaw,Member,Female,Food and beverages,94.64,9,2023-01-29,20:00,Ewallet,6.1,42.59,894.35
592-50-6276,B,Mandalay,Member,Female,Electronic accessories,17.44,2,2023-01-30,19:15,Ewallet,8.7,1.74,36.62
114-54-1064,C,Naypyitaw,Normal,Female,Electronic accessories,93.78,4,2023-01-31,13:45,Ewallet,5.1,18.76,393.88
956-80-3568,B,Mandalay,Member,Male,Home and lifestyle,84.4,8,2023-02-01,19:30,Credit card,6.8,33.76,708.96
443-10-3027,B,Yangon,Normal,Female,Health and beauty,21.69,7,2023-02-02,15:00,Ewallet,8.9,7.59,159.42
747-97-6258,B,Naypyitaw,Normal,Female,Health and beauty,60.85,1,2023-02-03,20:45,Ewallet,7.8,3.04,63.89
598-90-1391,A,Naypyitaw,Member,Male,Sports and travel,87.99,5,2023-02-04,18:15,Cash,6.3,22.0,461.95
774-44-6892,C,Mandalay,Normal,Female,Sports and travel,61.46,7,2023-02-05,13:45,Cash,8.5,21.51,451.73
589-50-4099,C,Naypyitaw,Member,Male,Sports and travel,91.65,4,2023-02-06,19:00,Ewallet,7.8,18.33,384.93
234-82-4104,B,Mandalay,Member,Male,Health and beauty,94.87,1,2023-02-07,10:45,Ewallet,9.0,4.74,99.61
147-32-9996,A,Mandalay,Member,Female,Electronic accessories,48.01,9,2023-02-08,10:00,Cash,8.7,21.6,453.69
198-53-9154,A,Mandalay,Normal,Female,Health and beauty,43.96,5,2023-02-09,13:15,Ewallet,8.1,10.99,230.79
646-74-9110,C,Mandalay,Member,Female,Fashion accessories,94.27,2,2023-02-10,13:45,Credit card,7.4,9.43,197.97
561-12-4840,A,Yangon,Normal,Female,Food and beverages,70.76,8,2023-02-11,20:15,Credit card,5.7,28.3,594.38
104-23-7938,A,Mandalay,Member,Female,Sports and travel,20.44,2,2023-02-12,15:30,Credit card,6.3,2.04,42.92
492-88-6134,B,Naypyitaw,Member,Female,Electronic accessories,13.81,3,2023-02-13,15:15,Ewallet,7.1,2.07,43.5
957-51-8035,A,Yangon,Member,Male,Home and lifestyle,60.82,1,2023-02-14,16:15,Cash,8.0,3.04,63.86
560-60-1863,B,Naypyitaw,Normal,Male,Home and lifestyle,93.72,2,2023-02-15,10:15,Ewallet,7.6,9.37,196.81
842-61-6116,C,Yangon,Normal,Female,Food and beverages,85.98,7,2023-02-16,10:45,Ewallet,6.4,30.09,631.95
195-13-2757,A,Mandalay,Normal,Male,Electronic accessories,70.83,2,2023-02-17,18:45,Cash,5.0,7.08,148.74
584-32-7374,C,Yangon,Member,Female,Health and beauty,22.52,6,2023-02-18,8:30,Cash,7.5,6.76,141.88
848-24-4242,C,Yangon,Member,Male,Health and beauty,32.88,3,2023-02-19,20:30,Cash,6.4,4.93,103.57
640-45-7668,A,Naypyitaw,Normal,Male,Fashion accessories,88.8,4,2023-02-20,12:15,Credit card,8.7,17.76,372.96
259-80-4157,A,Naypyitaw,Normal,Male,Fashion accessories,26.45,8,2023-02-21,11:00,Ewallet,5.1,10.58,222.18
895-75-3693,C,Mandalay,Normal,Female,Health and beauty,35.06,3,2023-02-22,16:30,Cash,7.9,5.26,110.44
895-37-4627,A,Yangon,Normal,Male,Home and lifestyle,21.66,6,2023-02-23,12:15,Ewallet,9.7,6.5,136.46
439-39-6450,B,Yangon,Normal,Female,Sports and travel,70.85,1,2023-02-24,11:30,Credit card,5.9,3.54,74.39
739-98-8392,B,Yangon,Normal,Male,Home and lifestyle,94.96,7,2023-02-25,13:45,Credit card,7.4,33.24,697.96
484-36-7776,A,Mandalay,Member,Male,Fashion accessories,34.21,8,2023-02-26,20:00,Cash,5.5,13.68,287.36
727-86-6864,C,Mandalay,Normal,Male,Food and beverages,52.79,8,2023-02-27,17:15,Cash,8.1,21.12,443.44
358-79-6575,A,Mandalay,Member,Male,Health and beauty,67.09,3,2023-02-28,8:45,Ewallet,7.8,10.06,211.33
510-18-5413,A,Mandalay,Member,Male,Fashion accessories,99.95,1,2023-03-01,11:00,Cash,7.0,5.0,104.95
776-60-1663,C,Mandalay,Normal,Female,Fashion accessories,19.43,9,2023-03-02,8:15,Ewallet,7.6,8.74,183.61
926-41-2495,C,Naypyitaw,Normal,Female,Sports and travel,54.87,6,2023-03-03,11:00,Cash,9.5,16.46,345.68
332-61-6232,B,Yangon,Member,Male,Health and beauty,44.66,9,2023-03-04,8:30,Ewallet,6.0,20.1,422.04
929-67-2291,C,Yangon,Normal,Male,Sports and travel,87.92,7,2023-03-05,20:00,Ewallet,5.1,30.77,646.21
609-48-8554,B,Yangon,Normal,Male,Health and beauty,52.84,1,2023-03-06,15:15,Ewallet,9.3,2.64,55.48
212-65-1698,C,Yangon,Member,Male,Sports and travel,19.99,1,2023-03-07,15:15,Ewallet,7.9,1.0,20.99
212-11-5737,A,Yangon,Member,Female,Home and lifestyle,67.1,6,2023-03-08,18:00,Credit card,9.5,20.13,422.73
319-63-1854,B,Yangon,Member,Male,Food and beverages,79.37,5,2023-03-09,14:15,Ewallet,8.0,19.84,416.69
835-10-6249,B,Yangon,Normal,Female,Food and beverages,10.26,9,2023-03-10,15:45,Cash,9.1,4.62,96.96
152-53-6791,B,Yangon,Member,Male,Health and beauty,87.31,2,2023-03-11,18:15,Credit card,7.1,8.73,183.35
809-41-5931,A,Naypyitaw,Normal,Female,Electronic accessories,26.74,8,2023-03-12,18:00,Credit card,8.7,10.7,224.62
538-84-5218,A,Yangon,Member,Male,Fashion accessories,59.69,5,2023-03-13,14:00,Ewallet,9.6,14.92,313.37
500-47-3327,A,Naypyitaw,Member,Male,Fashion accessories,47.42,2,2023-03-14,8:45,Credit card,7.9,4.74,99.58
936-79-8125,A,Mandalay,Member,Female,Health and beauty,74.77,6,2023-03-15,16:00,Ewallet,5.9,22.43,471.05
610-25-9800,A,Yangon,Normal,Male,Sports and travel,43.4,8,2023-03-16,14:15,Cash,6.3,17.36,364.56
